name, points, weight, volume
knapsack, 0, 21000, 42000
item1, 22, 29, 64
item2, 15, 26, 63
item3, 12, 40, 65
item4, 19, 25, 75
item5, 28, 37, 55
item6, 27, 32, 73
item7, 23, 29, 66
item8, 15, 30, 41
item9, 15, 26, 50
item10, 17, 21, 41
item11, 20, 31, 41
item12, 29, 27, 70
item13, 10, 31, 64
item14, 22, 20, 59
item15, 25, 27, 41
item16, 28, 32, 42
item17, 29, 37, 61
item18, 28, 33, 46
item19, 22, 30, 78
item20, 23, 29, 50
item21, 17, 34, 75
item22, 29, 38, 63
item23, 29, 22, 42
item24, 10, 32, 46
item25, 29, 29, 68
item26, 17, 34, 50
item27, 13, 37, 61
item28, 29, 33, 47
item29, 19, 23, 68
item30, 15, 31, 60
item31, 19, 30, 74
item32, 12, 34, 69
item33, 24, 36, 61
item34, 22, 32, 59
item35, 12, 25, 75
item36, 11, 31, 69
item37, 22, 40, 61
item38, 29, 30, 72
item39, 19, 25, 52
item40, 12, 29, 67
item41, 17, 25, 55
item42, 13, 31, 44
item43, 25, 28, 52
item44, 30, 39, 58
item45, 25, 37, 43
item46, 22, 39, 73
item47, 29, 26, 75
item48, 29, 36, 66
item49, 10, 36, 49
item50, 15, 27, 72
item51, 28, 29, 63
item52, 17, 30, 46
item53, 21, 35, 48
item54, 11, 26, 70
item55, 22, 31, 64
item56, 14, 29, 42
item57, 24, 21, 62
item58, 12, 31, 49
item59, 15, 22, 71
item60, 28, 21, 74
item61, 18, 33, 57
item62, 12, 21, 74
item63, 22, 22, 43
item64, 27, 37, 63
item65, 22, 28, 42
item66, 15, 36, 47
item67, 24, 32, 69
item68, 20, 27, 47
item69, 18, 33, 53
item70, 24, 25, 59
item71, 25, 33, 59
item72, 29, 30, 69
item73, 23, 27, 70
item74, 26, 30, 53
item75, 18, 39, 51
item76, 26, 21, 43
item77, 17, 21, 69
item78, 28, 29, 56
item79, 29, 33, 50
item80, 28, 35, 71
item81, 26, 40, 41
item82, 16, 35, 75
item83, 17, 27, 61
item84, 23, 30, 64
item85, 12, 24, 70
item86, 12, 30, 43
item87, 22, 20, 56
item88, 13, 29, 62
item89, 19, 23, 44
item90, 20, 33, 63
item91, 27, 23, 57
item92, 16, 38, 57
item93, 12, 27, 41
item94, 16, 34, 47
item95, 25, 32, 69
item96, 12, 23, 50
item97, 19, 36, 47
item98, 18, 37, 60
item99, 18, 33, 73
item100, 13, 38, 42
item101, 24, 28, 41
item102, 22, 34, 79
item103, 19, 28, 73
item104, 17, 27, 76
item105, 30, 31, 40
item106, 18, 33, 45
item107, 16, 34, 66
item108, 28, 30, 71
item109, 29, 26, 63
item110, 24, 21, 60
item111, 24, 28, 63
item112, 26, 37, 57
item113, 12, 31, 78
item114, 15, 36, 61
item115, 19, 31, 45
item116, 20, 32, 64
item117, 14, 38, 42
item118, 14, 30, 80
item119, 11, 39, 54
item120, 10, 28, 62
item121, 17, 27, 49
item122, 24, 35, 56
item123, 20, 32, 71
item124, 14, 24, 64
item125, 21, 22, 44
item126, 23, 26, 48
item127, 14, 32, 41
item128, 20, 25, 76
item129, 29, 37, 72
item130, 25, 22, 65
item131, 22, 39, 70
item132, 14, 20, 71
item133, 11, 29, 42
item134, 17, 38, 79
item135, 19, 35, 77
item136, 18, 33, 58
item137, 16, 29, 65
item138, 10, 27, 76
item139, 24, 38, 70
item140, 17, 29, 52
item141, 25, 36, 53
item142, 25, 20, 60
item143, 18, 38, 57
item144, 28, 25, 66
item145, 12, 25, 41
item146, 26, 20, 54
item147, 22, 36, 80
item148, 18, 23, 43
item149, 29, 36, 79
item150, 15, 34, 57
item151, 12, 30, 47
item152, 19, 26, 64
item153, 20, 37, 64
item154, 13, 30, 51
item155, 11, 28, 68
item156, 16, 20, 43
item157, 15, 33, 52
item158, 23, 23, 48
item159, 24, 25, 54
item160, 17, 21, 66
item161, 21, 39, 80
item162, 23, 36, 73
item163, 25, 22, 65
item164, 20, 40, 69
item165, 29, 26, 77
item166, 21, 29, 58
item167, 23, 28, 66
item168, 13, 38, 72
item169, 30, 40, 57
item170, 29, 31, 64
item171, 26, 22, 40
item172, 26, 34, 67
item173, 13, 30, 77
item174, 13, 38, 42
item175, 13, 36, 56
item176, 28, 39, 45
item177, 27, 38, 48
item178, 18, 26, 76
item179, 18, 32, 50
item180, 13, 30, 49
item181, 10, 35, 74
item182, 20, 22, 49
item183, 12, 36, 78
item184, 11, 28, 77
item185, 19, 21, 80
item186, 19, 35, 53
item187, 28, 29, 60
item188, 22, 35, 76
item189, 18, 23, 59
item190, 29, 25, 47
item191, 30, 39, 76
item192, 11, 35, 71
item193, 13, 34, 58
item194, 12, 27, 45
item195, 18, 24, 78
item196, 21, 31, 66
item197, 29, 34, 40
item198, 21, 31, 80
item199, 29, 24, 63
item200, 24, 22, 47
item201, 21, 24, 74
item202, 17, 25, 59
item203, 24, 33, 76
item204, 12, 36, 75
item205, 18, 25, 59
item206, 29, 38, 72
item207, 17, 23, 65
item208, 15, 36, 77
item209, 11, 25, 78
item210, 13, 23, 44
item211, 18, 37, 56
item212, 12, 21, 62
item213, 25, 35, 79
item214, 23, 31, 55
item215, 12, 24, 55
item216, 25, 30, 79
item217, 15, 23, 70
item218, 19, 24, 77
item219, 28, 28, 68
item220, 15, 26, 44
item221, 23, 25, 60
item222, 27, 28, 58
item223, 12, 25, 64
item224, 24, 21, 63
item225, 26, 22, 71
item226, 11, 26, 68
item227, 21, 23, 74
item228, 26, 34, 56
item229, 27, 35, 68
item230, 22, 25, 78
item231, 28, 33, 44
item232, 14, 36, 62
item233, 29, 38, 71
item234, 28, 21, 53
item235, 11, 24, 55
item236, 21, 30, 73
item237, 14, 30, 68
item238, 20, 30, 54
item239, 10, 21, 71
item240, 19, 21, 58
item241, 18, 24, 57
item242, 12, 24, 45
item243, 25, 33, 70
item244, 21, 31, 75
item245, 12, 38, 42
item246, 14, 22, 51
item247, 25, 24, 56
item248, 22, 23, 68
item249, 20, 37, 60
item250, 19, 38, 79
item251, 16, 38, 48
item252, 16, 26, 63
item253, 26, 26, 79
item254, 16, 35, 41
item255, 19, 23, 49
item256, 17, 22, 77
item257, 26, 25, 62
item258, 11, 38, 77
item259, 29, 25, 56
item260, 21, 20, 54
item261, 22, 21, 78
item262, 28, 40, 46
item263, 19, 20, 75
item264, 15, 30, 40
item265, 17, 24, 49
item266, 12, 22, 66
item267, 21, 22, 75
item268, 19, 21, 49
item269, 16, 38, 57
item270, 28, 29, 51
item271, 23, 24, 65
item272, 18, 23, 66
item273, 24, 32, 72
item274, 24, 34, 40
item275, 19, 34, 70
item276, 22, 33, 41
item277, 15, 23, 80
item278, 22, 39, 48
item279, 29, 29, 45
item280, 27, 36, 58
item281, 14, 25, 55
item282, 19, 35, 42
item283, 21, 33, 63
item284, 22, 26, 64
item285, 13, 39, 40
item286, 15, 35, 58
item287, 24, 37, 46
item288, 15, 28, 43
item289, 17, 34, 57
item290, 11, 37, 54
item291, 24, 20, 49
item292, 22, 33, 62
item293, 24, 28, 57
item294, 18, 31, 77
item295, 10, 22, 71
item296, 30, 39, 43
item297, 22, 34, 72
item298, 24, 29, 41
item299, 20, 24, 71
item300, 19, 35, 51
item301, 13, 35, 60
item302, 29, 30, 75
item303, 26, 28, 60
item304, 12, 23, 41
item305, 16, 31, 60
item306, 30, 30, 53
item307, 28, 36, 68
item308, 22, 30, 59
item309, 13, 37, 66
item310, 13, 24, 59
item311, 26, 35, 73
item312, 23, 32, 62
item313, 23, 31, 74
item314, 24, 31, 41
item315, 25, 36, 62
item316, 17, 25, 52
item317, 23, 26, 60
item318, 19, 27, 48
item319, 20, 38, 44
item320, 11, 39, 70
item321, 26, 24, 66
item322, 29, 24, 61
item323, 15, 35, 54
item324, 25, 26, 66
item325, 19, 40, 54
item326, 18, 26, 53
item327, 11, 22, 45
item328, 19, 26, 69
item329, 19, 28, 66
item330, 30, 24, 75
item331, 26, 32, 64
item332, 23, 27, 50
item333, 14, 34, 52
item334, 13, 28, 78
item335, 12, 22, 55
item336, 24, 20, 60
item337, 24, 38, 77
item338, 13, 29, 51
item339, 13, 22, 50
item340, 11, 34, 58
item341, 14, 25, 76
item342, 19, 38, 62
item343, 25, 36, 58
item344, 14, 25, 61
item345, 29, 28, 55
item346, 24, 28, 80
item347, 27, 23, 74
item348, 16, 40, 67
item349, 23, 39, 62
item350, 24, 23, 70
item351, 19, 25, 45
item352, 18, 33, 43
item353, 27, 33, 75
item354, 14, 34, 61
item355, 26, 32, 68
item356, 14, 38, 69
item357, 17, 21, 73
item358, 27, 25, 67
item359, 14, 29, 56
item360, 30, 22, 71
item361, 11, 23, 41
item362, 25, 27, 43
item363, 25, 22, 72
item364, 22, 32, 51
item365, 24, 27, 80
item366, 25, 28, 74
item367, 29, 23, 63
item368, 25, 26, 60
item369, 24, 37, 66
item370, 13, 27, 71
item371, 11, 28, 54
item372, 18, 35, 64
item373, 23, 24, 74
item374, 19, 20, 62
item375, 29, 30, 75
item376, 22, 23, 44
item377, 28, 32, 77
item378, 14, 30, 70
item379, 24, 22, 41
item380, 16, 25, 46
item381, 27, 36, 49
item382, 20, 31, 75
item383, 22, 26, 50
item384, 27, 38, 41
item385, 24, 33, 49
item386, 14, 22, 74
item387, 22, 27, 57
item388, 11, 34, 55
item389, 23, 33, 51
item390, 11, 22, 77
item391, 25, 38, 73
item392, 18, 37, 58
item393, 11, 28, 49
item394, 11, 27, 80
item395, 27, 38, 55
item396, 11, 39, 69
item397, 29, 34, 64
item398, 15, 38, 72
item399, 12, 24, 51
item400, 22, 38, 79
item401, 30, 29, 51
item402, 22, 39, 49
item403, 16, 35, 69
item404, 11, 39, 66
item405, 20, 40, 59
item406, 27, 24, 63
item407, 11, 24, 70
item408, 22, 21, 60
item409, 15, 39, 45
item410, 11, 26, 42
item411, 29, 33, 42
item412, 17, 39, 46
item413, 23, 28, 70
item414, 12, 29, 51
item415, 11, 35, 57
item416, 15, 40, 44
item417, 12, 32, 66
item418, 17, 26, 68
item419, 13, 34, 78
item420, 28, 35, 76
item421, 25, 22, 68
item422, 12, 38, 74
item423, 13, 31, 59
item424, 11, 39, 64
item425, 26, 21, 61
item426, 25, 34, 71
item427, 27, 36, 64
item428, 28, 25, 56
item429, 22, 34, 71
item430, 14, 38, 57
item431, 12, 23, 74
item432, 15, 22, 65
item433, 23, 21, 55
item434, 20, 22, 49
item435, 21, 37, 63
item436, 25, 34, 53
item437, 18, 21, 77
item438, 24, 33, 61
item439, 28, 32, 56
item440, 10, 31, 66
item441, 17, 27, 51
item442, 23, 34, 73
item443, 19, 27, 74
item444, 13, 22, 63
item445, 21, 37, 61
item446, 23, 26, 50
item447, 22, 23, 73
item448, 20, 37, 47
item449, 25, 39, 76
item450, 15, 35, 57
item451, 19, 39, 51
item452, 11, 36, 55
item453, 30, 24, 57
item454, 23, 34, 63
item455, 22, 22, 46
item456, 23, 28, 49
item457, 16, 36, 54
item458, 14, 29, 53
item459, 29, 36, 74
item460, 15, 21, 40
item461, 16, 23, 65
item462, 13, 32, 60
item463, 26, 36, 57
item464, 24, 29, 47
item465, 26, 33, 43
item466, 22, 37, 54
item467, 29, 26, 77
item468, 29, 39, 78
item469, 26, 26, 54
item470, 16, 25, 59
item471, 25, 35, 77
item472, 23, 24, 68
item473, 25, 40, 50
item474, 28, 30, 42
item475, 17, 31, 68
item476, 17, 20, 44
item477, 23, 31, 65
item478, 25, 40, 74
item479, 22, 31, 42
item480, 19, 35, 56
item481, 22, 39, 68
item482, 10, 32, 52
item483, 19, 34, 54
item484, 10, 21, 70
item485, 14, 40, 48
item486, 14, 24, 62
item487, 29, 36, 53
item488, 28, 28, 64
item489, 11, 37, 49
item490, 15, 27, 59
item491, 14, 24, 71
item492, 14, 38, 67
item493, 15, 24, 61
item494, 27, 24, 51
item495, 14, 22, 45
item496, 11, 32, 48
item497, 11, 21, 69
item498, 17, 35, 54
item499, 11, 24, 55
item500, 11, 39, 75
item501, 22, 32, 69
item502, 19, 28, 58
item503, 28, 31, 46
item504, 29, 37, 62
item505, 14, 22, 79
item506, 22, 29, 76
item507, 30, 26, 77
item508, 12, 25, 67
item509, 28, 35, 73
item510, 13, 37, 41
item511, 13, 25, 67
item512, 26, 21, 48
item513, 19, 32, 53
item514, 21, 36, 50
item515, 18, 24, 44
item516, 17, 31, 50
item517, 15, 34, 46
item518, 28, 30, 70
item519, 27, 31, 73
item520, 22, 36, 78
item521, 30, 33, 69
item522, 30, 25, 52
item523, 27, 25, 54
item524, 26, 37, 41
item525, 21, 30, 60
item526, 17, 22, 61
item527, 18, 34, 45
item528, 26, 30, 65
item529, 17, 20, 54
item530, 12, 32, 47
item531, 23, 30, 69
item532, 15, 33, 47
item533, 20, 29, 73
item534, 25, 33, 47
item535, 21, 39, 56
item536, 25, 34, 53
item537, 20, 27, 46
item538, 18, 32, 49
item539, 12, 31, 63
item540, 29, 33, 49
item541, 25, 30, 74
item542, 25, 30, 75
item543, 17, 21, 48
item544, 13, 27, 72
item545, 21, 37, 44
item546, 12, 30, 45
item547, 24, 33, 70
item548, 16, 38, 65
item549, 24, 31, 78
item550, 19, 23, 50
item551, 28, 37, 75
item552, 19, 39, 55
item553, 13, 21, 73
item554, 13, 28, 80
item555, 23, 36, 78
item556, 24, 25, 46
item557, 21, 24, 67
item558, 16, 30, 57
item559, 19, 29, 54
item560, 24, 36, 51
item561, 19, 36, 64
item562, 22, 38, 57
item563, 28, 34, 63
item564, 18, 29, 56
item565, 25, 25, 80
item566, 29, 38, 63
item567, 18, 37, 76
item568, 27, 24, 62
item569, 29, 31, 61
item570, 12, 33, 76
item571, 18, 29, 55
item572, 28, 40, 46
item573, 20, 26, 79
item574, 23, 24, 49
item575, 28, 32, 70
item576, 27, 22, 71
item577, 13, 40, 67
item578, 25, 22, 80
item579, 22, 31, 72
item580, 23, 29, 78
item581, 17, 27, 76
item582, 25, 37, 74
item583, 14, 21, 41
item584, 27, 23, 68
item585, 12, 28, 80
item586, 11, 24, 53
item587, 21, 32, 71
item588, 22, 24, 78
item589, 12, 29, 57
item590, 12, 27, 42
item591, 26, 23, 68
item592, 27, 34, 69
item593, 28, 24, 42
item594, 25, 29, 57
item595, 15, 27, 54
item596, 24, 28, 67
item597, 28, 30, 67
item598, 17, 28, 56
item599, 25, 38, 46
item600, 22, 33, 57
item601, 24, 28, 40
item602, 22, 34, 75
item603, 19, 25, 43
item604, 28, 22, 50
item605, 29, 39, 73
item606, 29, 38, 42
item607, 27, 37, 73
item608, 12, 38, 63
item609, 17, 33, 74
item610, 29, 34, 51
item611, 25, 38, 47
item612, 19, 36, 61
item613, 19, 36, 54
item614, 27, 24, 41
item615, 15, 38, 45
item616, 15, 30, 77
item617, 19, 36, 62
item618, 16, 23, 73
item619, 12, 28, 56
item620, 26, 27, 58
item621, 18, 28, 45
item622, 17, 34, 62
item623, 24, 27, 60
item624, 16, 20, 59
item625, 27, 33, 79
item626, 15, 39, 44
item627, 25, 37, 55
item628, 19, 26, 40
item629, 20, 24, 70
item630, 19, 32, 61
item631, 26, 28, 73
item632, 16, 23, 69
item633, 13, 28, 69
item634, 11, 28, 49
item635, 26, 25, 53
item636, 21, 37, 50
item637, 11, 34, 73
item638, 28, 38, 63
item639, 23, 27, 47
item640, 25, 24, 48
item641, 13, 40, 77
item642, 11, 28, 51
item643, 10, 20, 66
item644, 19, 21, 46
item645, 18, 23, 77
item646, 15, 20, 49
item647, 25, 25, 51
item648, 20, 20, 46
item649, 18, 30, 72
item650, 20, 22, 78
item651, 12, 32, 67
item652, 23, 36, 60
item653, 13, 35, 76
item654, 21, 23, 49
item655, 17, 21, 63
item656, 11, 27, 54
item657, 27, 25, 64
item658, 24, 32, 46
item659, 21, 29, 73
item660, 27, 26, 69
item661, 27, 40, 73
item662, 19, 26, 52
item663, 12, 37, 75
item664, 25, 37, 67
item665, 19, 38, 53
item666, 22, 34, 65
item667, 21, 22, 59
item668, 13, 40, 78
item669, 30, 32, 67
item670, 13, 35, 59
item671, 11, 33, 69
item672, 22, 27, 76
item673, 26, 28, 71
item674, 19, 27, 50
item675, 28, 30, 42
item676, 13, 29, 54
item677, 25, 38, 50
item678, 28, 40, 66
item679, 21, 39, 67
item680, 13, 20, 63
item681, 20, 29, 78
item682, 25, 34, 47
item683, 24, 31, 46
item684, 21, 34, 72
item685, 11, 23, 43
item686, 16, 25, 74
item687, 24, 22, 69
item688, 20, 27, 69
item689, 26, 35, 78
item690, 19, 22, 59
item691, 28, 26, 79
item692, 19, 30, 73
item693, 23, 22, 73
item694, 12, 28, 63
item695, 14, 39, 60
item696, 11, 28, 70
item697, 15, 33, 52
item698, 29, 25, 76
item699, 21, 29, 62
item700, 15, 36, 43
item701, 12, 37, 46
item702, 16, 25, 63
item703, 27, 22, 72
item704, 24, 35, 65
item705, 21, 35, 70
item706, 20, 23, 42
item707, 18, 24, 66
item708, 28, 28, 59
item709, 23, 37, 74
item710, 20, 39, 77
item711, 15, 37, 52
item712, 25, 24, 70
item713, 22, 32, 60
item714, 28, 32, 62
item715, 27, 29, 72
item716, 23, 24, 79
item717, 17, 23, 59
item718, 18, 32, 61
item719, 22, 38, 53
item720, 15, 27, 49
item721, 19, 36, 51
item722, 30, 23, 67
item723, 10, 35, 73
item724, 19, 22, 68
item725, 15, 25, 47
item726, 16, 33, 52
item727, 29, 35, 77
item728, 18, 31, 53
item729, 17, 33, 73
item730, 14, 30, 65
item731, 23, 35, 45
item732, 26, 28, 66
item733, 15, 21, 54
item734, 14, 38, 45
item735, 14, 35, 73
item736, 20, 34, 77
item737, 28, 22, 56
item738, 25, 29, 55
item739, 23, 34, 69
item740, 14, 35, 59
item741, 24, 24, 63
item742, 16, 25, 72
item743, 16, 40, 78
item744, 25, 33, 54
item745, 23, 27, 75
item746, 11, 23, 66
item747, 17, 39, 78
item748, 14, 20, 73
item749, 25, 40, 78
item750, 25, 22, 52
item751, 16, 29, 77
item752, 30, 29, 73
item753, 27, 29, 66
item754, 17, 21, 53
item755, 19, 33, 43
item756, 20, 38, 49
item757, 30, 40, 46
item758, 13, 32, 42
item759, 25, 37, 45
item760, 25, 33, 57
item761, 13, 30, 49
item762, 17, 40, 45
item763, 23, 31, 59
item764, 11, 23, 64
item765, 10, 39, 78
item766, 20, 33, 75
item767, 30, 35, 55
item768, 20, 35, 71
item769, 12, 31, 64
item770, 20, 29, 72
item771, 16, 38, 49
item772, 12, 38, 72
item773, 28, 33, 41
item774, 23, 30, 48
item775, 17, 36, 49
item776, 16, 29, 47
item777, 14, 24, 67
item778, 24, 35, 47
item779, 28, 24, 74
item780, 23, 36, 70
item781, 17, 40, 41
item782, 17, 38, 47
item783, 12, 27, 51
item784, 16, 21, 47
item785, 30, 26, 73
item786, 11, 31, 58
item787, 16, 32, 73
item788, 13, 30, 56
item789, 28, 29, 76
item790, 12, 26, 65
item791, 18, 29, 75
item792, 29, 37, 66
item793, 23, 24, 70
item794, 20, 30, 52
item795, 17, 34, 75
item796, 27, 24, 60
item797, 28, 26, 52
item798, 17, 34, 46
item799, 25, 30, 71
item800, 21, 22, 76
item801, 17, 32, 48
item802, 25, 34, 65
item803, 17, 33, 43
item804, 27, 26, 53
item805, 19, 21, 48
item806, 12, 25, 56
item807, 21, 38, 58
item808, 13, 33, 57
item809, 17, 35, 41
item810, 25, 39, 51
item811, 16, 32, 43
item812, 12, 33, 80
item813, 16, 22, 41
item814, 17, 31, 51
item815, 10, 39, 68
item816, 30, 21, 57
item817, 11, 22, 62
item818, 24, 35, 54
item819, 28, 24, 77
item820, 12, 22, 80
item821, 20, 24, 73
item822, 28, 39, 75
item823, 20, 23, 42
item824, 21, 35, 42
item825, 15, 26, 78
item826, 19, 27, 53
item827, 16, 26, 44
item828, 18, 33, 67
item829, 18, 20, 43
item830, 25, 31, 66
item831, 24, 30, 72
item832, 26, 21, 66
item833, 23, 36, 45
item834, 14, 28, 73
item835, 23, 30, 40
item836, 22, 34, 77
item837, 23, 20, 75
item838, 27, 24, 54
item839, 22, 36, 78
item840, 23, 32, 76
item841, 29, 22, 70
item842, 15, 36, 78
item843, 27, 27, 60
item844, 17, 39, 72
item845, 19, 34, 60
item846, 23, 21, 64
item847, 12, 34, 41
item848, 10, 28, 65
item849, 28, 35, 61
item850, 23, 36, 47
item851, 13, 29, 71
item852, 29, 26, 51
item853, 20, 28, 42
item854, 14, 25, 76
item855, 19, 30, 70
item856, 12, 36, 66
item857, 12, 29, 77
item858, 10, 31, 63
item859, 15, 35, 60
item860, 21, 32, 47
item861, 14, 40, 71
item862, 26, 35, 71
item863, 28, 34, 64
item864, 28, 20, 51
item865, 28, 26, 79
item866, 17, 29, 60
item867, 10, 33, 69
item868, 16, 33, 54
item869, 20, 34, 64
item870, 14, 31, 59
item871, 23, 28, 65
item872, 12, 35, 65
item873, 17, 39, 68
item874, 24, 31, 48
item875, 30, 25, 49
item876, 28, 39, 54
item877, 29, 35, 48
item878, 10, 25, 64
item879, 10, 34, 59
item880, 13, 30, 50
item881, 10, 33, 46
item882, 30, 32, 46
item883, 12, 23, 55
item884, 14, 40, 52
item885, 12, 34, 71
item886, 29, 27, 67
item887, 11, 27, 63
item888, 18, 28, 46
item889, 16, 23, 71
item890, 18, 28, 79
item891, 17, 35, 78
item892, 28, 37, 72
item893, 16, 22, 63
item894, 26, 38, 79
item895, 26, 28, 57
item896, 19, 26, 72
item897, 12, 26, 42
item898, 14, 39, 49
item899, 19, 31, 59
item900, 24, 35, 41
item901, 17, 22, 75
item902, 26, 31, 49
item903, 24, 33, 62
item904, 16, 28, 59
item905, 28, 25, 80
item906, 25, 34, 68
item907, 16, 22, 70
item908, 27, 29, 63
item909, 29, 39, 50
item910, 16, 27, 56
item911, 19, 26, 66
item912, 12, 20, 42
item913, 20, 27, 55
item914, 26, 34, 76
item915, 15, 28, 52
item916, 18, 30, 51
item917, 14, 32, 49
item918, 24, 27, 63
item919, 25, 31, 56
item920, 25, 26, 42
item921, 24, 35, 66
item922, 26, 29, 66
item923, 23, 22, 45
item924, 18, 36, 63
item925, 14, 40, 70
item926, 14, 35, 80
item927, 15, 38, 52
item928, 20, 39, 61
item929, 15, 26, 50
item930, 19, 25, 56
item931, 12, 38, 47
item932, 27, 24, 41
item933, 23, 25, 72
item934, 19, 20, 52
item935, 25, 22, 48
item936, 16, 33, 54
item937, 12, 27, 77
item938, 21, 35, 68
item939, 25, 34, 44
item940, 24, 31, 73
item941, 16, 34, 51
item942, 28, 27, 58
item943, 20, 29, 50
item944, 17, 27, 55
item945, 23, 40, 44
item946, 22, 24, 70
item947, 12, 24, 51
item948, 19, 33, 55
item949, 18, 29, 57
item950, 11, 39, 45
item951, 21, 21, 41
item952, 10, 31, 74
item953, 12, 27, 41
item954, 18, 37, 50
item955, 15, 24, 40
item956, 23, 21, 46
item957, 21, 34, 74
item958, 30, 27, 54
item959, 15, 28, 55
item960, 22, 20, 62
item961, 22, 26, 41
item962, 20, 29, 64
item963, 28, 32, 69
item964, 12, 29, 47
item965, 18, 26, 59
item966, 20, 23, 52
item967, 27, 35, 69
item968, 11, 35, 69
item969, 16, 29, 52
item970, 27, 31, 67
item971, 25, 20, 48
item972, 19, 34, 47
item973, 17, 26, 76
item974, 18, 33, 47
item975, 20, 27, 56
item976, 15, 30, 63
item977, 25, 23, 52
item978, 14, 26, 73
item979, 12, 34, 53
item980, 27, 36, 77
item981, 24, 20, 66
item982, 15, 36, 69
item983, 27, 23, 77
item984, 21, 23, 75
item985, 19, 29, 50
item986, 11, 20, 66
item987, 14, 32, 66
item988, 18, 28, 42
item989, 30, 23, 67
item990, 27, 32, 65
item991, 13, 37, 77
item992, 13, 33, 43
item993, 19, 38, 79
item994, 19, 26, 49
item995, 13, 32, 54
item996, 20, 27, 59
item997, 26, 31, 61
item998, 17, 29, 68
item999, 14, 25, 42
item1000, 26, 40, 78
